station_eva,direction,train_id,type,timestamp,tts
8000207,arrival,r17067705,d,2505010459,25-05-01 04:59:30.243
8000207,arrival,r17096572,d,2505011843,25-05-01 18:43:47.522
8000207,arrival,r17101560,d,2505012104,25-05-01 21:04:08.128
8000207,arrival,r17101771,f,2505012111,25-05-01 21:12:02.351
8000207,arrival,r17101776,f,2505012111,25-05-01 21:12:02.351
8000207,arrival,r17099762,f,2505012009,25-05-01 20:09:19.966
8000207,arrival,r17100263,d,2505012023,25-05-01 20:24:06.575
8000207,arrival,r17101036,f,2505012047,25-05-01 20:48:05.359
8000207,departure,r17100263,d,2505012023,25-05-01 20:24:06.575
8000207,arrival,r17100713,d,2505012037,25-05-01 20:37:48.460
8000207,arrival,r17102668,f,2505012143,25-05-01 21:43:22.419
8000207,arrival,r17103005,d,2505012154,25-05-01 21:54:56.683
8000207,departure,r17098743,f,2505011936,25-05-01 19:37:05.298
8000207,departure,r17099831,f,2505012011,25-05-01 20:11:26.346
8000207,departure,r17099833,f,2505012011,25-05-01 20:11:26.346
8000207,departure,r17100713,d,2505012037,25-05-01 20:37:48.460
8000207,departure,r17101753,f,2505012111,25-05-01 21:11:30.778
8000207,departure,r17101757,f,2505012111,25-05-01 21:11:30.778
8000207,departure,r17101754,f,2505012111,25-05-01 21:11:30.778
8000207,departure,r17101758,f,2505012111,25-05-01 21:11:30.778
8000207,departure,r17102668,f,2505012143,25-05-01 21:43:22.419
8000207,departure,r17103005,d,2505012154,25-05-01 21:54:56.683
8000207,arrival,r17092112,q,2505011657,25-05-01 16:58:07.062
8000207,departure,r17092112,q,2505011657,25-05-01 16:58:07.062
8000207,departure,r17101792,f,2505012112,25-05-01 21:12:18.024
8000207,arrival,r17102922,f,2505012152,25-05-01 21:52:19.026
8000207,departure,r17102922,f,2505012152,25-05-01 21:52:19.026
8000207,arrival,r17102726,d,2505012146,25-05-01 21:46:31.215
8000207,arrival,r17067713,d,2505010459,25-05-01 05:00:01.317
8000207,arrival,r17086176,d,2505011456,25-05-01 14:56:38.522
8000207,arrival,r17086260,f,2505011458,25-05-01 14:58:29.771
8000207,arrival,r17094198,f,2505011744,25-05-01 17:44:05.384
8000207,arrival,r17094339,f,2505011747,25-05-01 17:47:16.901
8000207,arrival,r17095266,f,2505011809,25-05-01 18:09:51.746
8000207,arrival,r17098576,f,2505011932,25-05-01 19:32:50.843
8000207,arrival,r17099556,d,2505012003,25-05-01 20:03:30.403
8000207,arrival,r17099812,f,2505012010,25-05-01 20:10:54.751
8000207,arrival,r17101756,f,2505012111,25-05-01 21:11:30.778
8000207,arrival,r17067641,d,2505010455,25-05-01 04:55:23.804
8000207,arrival,r17101788,f,2505012112,25-05-01 21:12:18.024
8000207,arrival,r17067711,d,2505010459,25-05-01 05:00:01.318
8000207,arrival,r17086178,d,2505011456,25-05-01 14:56:38.523
8000207,arrival,r17086261,f,2505011458,25-05-01 14:58:29.771
8000207,arrival,r17092195,f,2505011659,25-05-01 16:59:42.048
8000207,arrival,r17094199,f,2505011744,25-05-01 17:44:05.384
8000207,arrival,r17094340,f,2505011747,25-05-01 17:47:16.901
8000207,arrival,r17095265,f,2505011809,25-05-01 18:09:51.746
8000207,arrival,r17099813,f,2505012010,25-05-01 20:10:54.751
8000207,arrival,r17101755,f,2505012111,25-05-01 21:11:30.778
8000207,arrival,r17098866,d,2505011940,25-05-01 19:40:47.246
8000207,departure,r17098866,d,2505011940,25-05-01 19:40:47.246
8000207,departure,r17099597,f,2505012004,25-05-01 20:04:33.815
8000207,departure,r17101765,f,2505012111,25-05-01 21:11:46.630
8000207,departure,r17101766,f,2505012111,25-05-01 21:11:46.630
8000207,departure,r17099617,f,2505012005,25-05-01 20:05:21.376
8000207,departure,r17101773,f,2505012111,25-05-01 21:12:02.351
8000207,arrival,r17085633,f,2505011444,25-05-01 14:44:27.782
8000207,arrival,r17085634,f,2505011444,25-05-01 14:44:27.782
8000207,arrival,r17102709,f,2505012145,25-05-01 21:45:44.168
8000207,arrival,r17102710,f,2505012145,25-05-01 21:45:44.168
8000207,departure,r17085633,f,2505011444,25-05-01 14:44:27.782
8000207,departure,r17085634,f,2505011444,25-05-01 14:44:27.782
8000207,departure,r17102709,f,2505012145,25-05-01 21:45:44.168
8000207,departure,r17102710,f,2505012145,25-05-01 21:45:44.168
8000207,arrival,r17099888,d,2505012013,25-05-01 20:13:16.948
8000207,arrival,r17100370,q,2505012027,25-05-01 20:27:16.168
8000207,departure,r17099888,d,2505012013,25-05-01 20:13:16.948
